gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.22-1
gsound 1.0.3-2
gspell 1.12.0-2
gssdp 1.6.1-1
gssproxy 0.9.1-2
gst-libav 1.20.4-3
gst-plugin-gtk 1.20.4-3
gst-plugin-pipewire 1:0.3.59-5
gst-plugins-bad 1.20.4-3
gst-plugins-bad-libs 1.20.4-3
gst-plugins-base 1.20.4-3
gst-plugins-base-libs 1.20.4-3
gst-plugins-good 1.20.4-3
gst-plugins-ugly 1.20.4-3
gstreamer 1.20.4-3
gtest 1.12.1-1
gtk-update-icon-cache 1:4.8.2-1
gtk2 2.24.33-2
gtk3 1:3.24.34+r156+g812b3930d0-1
gtk4 1:4.8.2-1
gtkglext 1.2.0-13
gtkhash 1.5-2
gtkhash-thunar 1.5-2
gtkmathview 0.8.0-9
gtkmm3 3.24.7-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
gts 0.7.6.121130-2
gucharmap 15.0.1-1
gufw 22.04-1
guile 3.0.8-2
gupnp 1:1.6.1-1
gupnp-igd 1.2.0-3
gutenprint 5.3.4-1
gvfs 1.50.2-1
gvfs-afc 1.50.2-1
gvfs-gphoto2 1.50.2-1
gvfs-mtp 1.50.2-1
gvfs-nfs 1.50.2-1
gvfs-smb 1.50.2-1
gzip 1.12-1
harfbuzz 5.3.1-3
harfbuzz-icu 5.3.1-3
haveged 1.9.18-1
hdf5 1.12.2-1
hdparm 9.65-1
heroku-cli-bin 7.59.2-1
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
highway 1.0.2-1
hplip 1:3.22.10-1
htop 3.2.1-1
http-parser 2.9.4-1
httpie 3.2.1-1
hugin 2021.0.0-6
hunspell 1.7.1-1
hunspell-en_us 2020.12.07-4
hwdata 0.364-1
hwinfo 22.1-1
hwloc 2.8.0-1
hyphen 2.8.8-4
iana-etc 20221107-1
ibus 1.5.27-1
icu 72.1-1
ijs 0.35-4
illyria-wallpaper 1.4-1
imagemagick 7.1.0.52-1
imath 3.1.6-1
imlib2 1.9.1-2
inetutils 2.3-1
iniparser 4.1-4
inkscape 1.2.1-8
inxi 3.3.23.1-1
iproute2 6.0.0-1
iptables-nft 1:1.8.8-2
iputils 20211215-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
iso-codes 4.12.0-1
iw 5.19-1
jansson 2.14-2
jasper 3.0.6-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk-openjdk 19.0.1.u10-3
jdk11-openjdk 11.0.17.u1-1
jdk8-openjdk 8.352.u08-1
jemalloc 1:5.3.0-1
jfsutils 1.1.15-8
jre-openjdk 19.0.1.u10-3
jre-openjdk-headless 19.0.1.u10-3
jre11-openjdk 11.0.17.u1-1
jre11-openjdk-headless 11.0.17.u1-1
jre8-openjdk 8.352.u08-1
jre8-openjdk-headless 8.352.u08-1
js102 102.4.0-1
js78 78.15.0-4
js91 91.13.0-1
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
jxrlib 0.2.4-1
k6-bin 0.40.0-1
kaccounts-integration 22.08.3-1
kactivities 5.99.0-1
kactivities-stats 5.99.0-1
kactivitymanagerd 5.26.3-1
karchive 5.99.0-1
kauth 5.99.0-1
kbd 2.5.1-1
kbookmarks 5.99.0-1
kcalendarcore 5.99.0-1
kcmutils 5.99.0-2
kcodecs 5.99.0-1
kcompletion 5.99.0-1
kconfig 5.99.0-1
kconfigwidgets 5.99.0-1
kcontacts 1:5.99.0-1
kcoreaddons 5.99.0-1
kcrash 5.99.0-1
kdbusaddons 5.99.0-1
kde-cli-tools 5.26.3-1
kdeclarative 5.99.0-1
kdecoration 5.26.3-1
kded 5.99.0-1
kdegraphics-mobipocket 22.08.3-1
kdelibs4support 5.99.0-2
kdenlive 22.08.3-1
kdesu 5.99.0-1
kdnssd 5.99.0-1
kdsoap 2.1.1-1
kdsoap-ws-discovery-client git20200927-2
kemoticons 5.99.0-1
keyutils 1.6.3-1
kfilemetadata 5.99.0-1
kglobalaccel 5.99.0-1
kguiaddons 5.99.0-2
kholidays 1:5.99.0-1
khtml 5.99.0-2
ki18n 5.99.0-1
kiconthemes 5.99.0-1
kidletime 5.99.0-1
kind 0.17.0-1
kio 5.99.0-1
kio-extras 22.08.3-1
kio-fuse 5.0.1-1
kirigami2 5.99.0-1
kitemmodels 5.99.0-1
kitemviews 5.99.0-1
kjobwidgets 5.99.0-1
kjs 5.99.0-2
kmenuedit 5.26.3-1
kmime 22.08.3-1
kmod 30-3
knewstuff 5.99.0-1
knotifications 5.99.0-1
knotifyconfig 5.99.0-1
kpackage 5.99.0-1
kparts 5.99.0-1
kpeople 5.99.0-1
kpipewire 5.26.3-1
kpty 5.99.0-1
kquickcharts 5.99.0-1
krb5 1.20-3
krita 5.1.3-1
krunner 5.99.0-1
ksanecore 22.08.3-1
kscreenlocker 5.26.3-1
kservice 5.99.0-1
